OPTIMIZATION LOG-BEST PER GENERATION
arm_base_width,arm_base_height,arm_wall_thickness,arm_length,arm_taper_ratio,wall_length,axle_length,material_type,top_opt_thickness,L1,clevis_edge_thickness,costVal
0.398885533454,0.164407140322,0.0111518290942,2.46770558836,0.682444300115,2.57446749802,3.31125106053,3,0.066836784068,16.1445633767,0.0318467948315,15.7146952057
0.398885533454,0.164407140322,0.0111518290942,2.46770558836,0.682444300115,2.57446749802,3.31125106053,3,0.066836784068,16.1445633767,0.0318467948315,15.7146952057
0.398885533454,0.164407140322,0.0111518290942,2.46770558836,0.682444300115,2.57446749802,3.31125106053,3,0.066836784068,16.1445633767,0.0318467948315,15.7146952057
0.398885533454,0.164407140322,0.0111518290942,2.46770558836,0.682444300115,2.57446749802,3.31125106053,3,0.066836784068,16.1445633767,0.0318467948315,15.7146952057
0.298437674686,0.201461566212,0.0123682631,2.29272248295,0.724904506347,3.56062072637,3.54253598806,3,0.0834777290158,15.9220139671,0.0318279295594,2.35638769624
0.298437674686,0.201461566212,0.0123682631,2.29272248295,0.724904506347,3.56062072637,3.54253598806,3,0.0834777290158,15.9220139671,0.0318279295594,2.35638769624
0.298437674686,0.201461566212,0.0123682631,2.29272248295,0.724904506347,3.56062072637,3.54253598806,3,0.0834777290158,15.9220139671,0.0318279295594,2.35638769624
0.298437674686,0.201461566212,0.0123682631,2.29272248295,0.724904506347,3.56062072637,3.54253598806,3,0.0834777290158,15.9220139671,0.0318279295594,2.35638769624
0.298437674686,0.201461566212,0.0123682631,2.29272248295,0.724904506347,3.56062072637,3.54253598806,3,0.0834777290158,15.9220139671,0.0318279295594,2.35638769624
0.261249126209,0.192107536772,0.0114793149989,2.39675394369,0.760820491532,3.2547038982,3.33773221208,3,0.0859904537376,17.0428030908,0.0279592166676,1.45463452091
0.334958561418,0.204290998297,0.0124038144838,2.38295973155,0.706420024062,2.89382553503,3.49240518131,3,0.081990940784,15.7760746621,0.0289722733619,1.36425791648
